"","grid","monitoring_period","common_name","occupied","n_deployments","prop_occupied","density_avg","density_lci_0.9","density_uci_0.9","season"
"1","ADE","monitor_2020","White-tailed Deer",6,20,0.3,0.07694872965,0.0158829071732517,0.197898423797566,"summer"
"2","ADE","monitor_2021","White-tailed Deer",4,21,0.19047619047619,0.056505559952381,0.00787349024441593,0.162908071285578,"summer"
"3","AUB","monitor_2019","White-tailed Deer",16,23,0.695652173913043,4.43374360452174,2.11408396665397,7.89972565566248,"summer"
"4","AUB","monitor_2020","White-tailed Deer",19,23,0.826086956521739,2.00694596134783,1.02458359794655,3.3995588923441,"summer"
"5","AUB","monitor_2021","White-tailed Deer",14,18,0.777777777777778,2.81352416316667,1.27610539600342,5.1874344949868,"summer"
"6","CAL","monitor_2017","White-tailed Deer",17,21,0.80952380952381,1.2807546137619,0.726726241999696,2.05084902037507,"summer"
"7","CAL","monitor_2018","White-tailed Deer",19,20,0.95,1.647426997,0.957424135521647,2.56636666413853,"summer"
"8","CAL","monitor_2019","White-tailed Deer",20,23,0.869565217391304,2.14231399926087,1.25356316947413,3.35590322458654,"summer"
"9","CHR","monitor_2017","White-tailed Deer",9,22,0.409090909090909,0.536912713409091,0.142735429876111,1.28266864709805,"summer"
"10","CHR","monitor_2018","White-tailed Deer",12,23,0.521739130434783,0.337110253956522,0.146112389601388,0.62979327274822,"summer"
"11","CHR","monitor_2019","White-tailed Deer",14,23,0.608695652173913,0.657511582086957,0.23241985943688,1.37291464169419,"summer"
"12","CHR","monitor_2020","White-tailed Deer",15,25,0.6,0.93501933544,0.400468850688225,1.75637293776522,"summer"
"13","CHR","monitor_2021","White-tailed Deer",15,24,0.625,1.037099866625,0.458005825107184,1.90263212931932,"summer"
"14","DEW","monitor_2018","White-tailed Deer",11,18,0.611111111111111,0.299744928,0.130536325489997,0.557930275145822,"summer"
"15","DEW","monitor_2019","White-tailed Deer",12,20,0.6,0.8792269713,0.377933791418102,1.65882732269033,"summer"
"16","DEW","monitor_2020","White-tailed Deer",4,8,0.5,0.19746760625,0.0289040038417778,0.576884677847577,"summer"
"17","FMM","monitor_2017","White-tailed Deer",2,22,0.0909090909090909,0.0224429165454545,0,0.0812403425592796,"summer"
"18","FMM","monitor_2018","White-tailed Deer",3,25,0.12,0.00398584488,0.000673953702736353,0.00952970435635084,"summer"
"19","FMM","monitor_2019","White-tailed Deer",4,20,0.2,0.0181713441,0.00491855613564895,0.0361664353174258,"summer"
"20","FMM","monitor_2020","White-tailed Deer",1,24,0.0416666666666667,0.0100988305416667,0.0100988305416667,0.0100988305416667,"summer"
"21","FMM","monitor_2021","White-tailed Deer",1,24,0.0416666666666667,0.00261457141666667,0.00261457141666667,0.00261457141666667,"summer"
"22","LID","monitor_2018","White-tailed Deer",3,18,0.166666666666667,0.164179338277778,0.00505482752896175,0.583092003219534,"summer"
"23","LID","monitor_2019","White-tailed Deer",8,22,0.363636363636364,0.3473567915,0.111778143871541,0.737165258215173,"summer"
"24","LID","monitor_2020","White-tailed Deer",12,23,0.521739130434783,0.254393542869565,0.100254498301017,0.497898640001115,"summer"
"25","LID","monitor_2021","White-tailed Deer",10,23,0.434782608695652,0.201753705217391,0.0919824859656246,0.36071285013331,"summer"
"26","LLB","monitor_2017","White-tailed Deer",15,22,0.681818181818182,1.64147181413636,0.857213596074887,2.74688210568423,"summer"
"27","LLB","monitor_2018","White-tailed Deer",16,23,0.695652173913043,1.3583480883913,0.636497073058111,2.43113594374355,"summer"
"28","LLB","monitor_2019","White-tailed Deer",20,25,0.8,1.18851713148,0.668873934018788,1.90031265307743,"summer"
"29","LLB","monitor_2020","White-tailed Deer",17,23,0.739130434782609,1.4144370713913,0.608934337398517,2.67518136807752,"summer"
"30","LLB","monitor_2021","White-tailed Deer",18,22,0.818181818181818,1.76592649413636,0.928521207982944,2.98390679243045,"summer"
"31","LRN","monitor_2018","White-tailed Deer",7,24,0.291666666666667,0.199270176916667,0.0432874378388349,0.514533472564089,"summer"
"32","LRN","monitor_2019","White-tailed Deer",5,20,0.25,0.27536234125,0.0327216707316116,0.851999106277727,"summer"
"33","LRN","monitor_2020","White-tailed Deer",7,20,0.35,0.1581323422,0.0435973865585876,0.365162008196494,"summer"
"34","LRN","monitor_2021","White-tailed Deer",8,20,0.4,0.3505505844,0.0930351781931192,0.816342618265407,"summer"
"35","MAC","monitor_2017","White-tailed Deer",1,25,0.04,0.0041200568,0.0041200568,0.0041200568,"summer"
"36","MAC","monitor_2018","White-tailed Deer",0,23,0,0,0,0,"summer"
"37","MAC","monitor_2019","White-tailed Deer",5,20,0.25,0.01434845675,0.00405558284437301,0.0312809500099025,"summer"
"38","MAC","monitor_2020","White-tailed Deer",2,22,0.0909090909090909,0.00417347972727273,0,0.0110233735802888,"summer"
"39","MAC","monitor_2021","White-tailed Deer",0,10,0,0,0,0,"summer"
"40","MAL","monitor_2021","White-tailed Deer",10,17,0.588235294117647,1.41310458847059,0.358999112134891,3.47236187404973,"summer"
"41","MCC","monitor_2018","White-tailed Deer",2,24,0.0833333333333333,0.0214906085833333,0,0.0502740940787064,"summer"
"42","MCC","monitor_2019","White-tailed Deer",4,17,0.235294117647059,0.0168496085294118,0.00342730037431183,0.0417046482929801,"summer"
"43","MCC","monitor_2020","White-tailed Deer",4,17,0.235294117647059,0.043893294,0.00536855639993511,0.131753154788162,"summer"
"44","MCC","monitor_2021","White-tailed Deer",2,25,0.08,0.0071872356,0,0.0209485853532615,"summer"
"45","MRG","monitor_2020","White-tailed Deer",2,21,0.0952380952380952,0.00579695247619048,0,0.0190614649693948,"summer"
"46","MRG","monitor_2021","White-tailed Deer",0,15,0,0,0,0,"summer"
"47","PEL","monitor_2020","White-tailed Deer",16,22,0.727272727272727,1.04667453068182,0.473361040836608,1.93467436183454,"summer"
"48","PEL","monitor_2021","White-tailed Deer",10,14,0.714285714285714,1.5032759325,0.516812183130406,3.15394533566774,"summer"
"49","RIC","monitor_2020","White-tailed Deer",2,23,0.0869565217391304,0.00501336886956522,0,0.0129004987604742,"summer"
"50","RIC","monitor_2021","White-tailed Deer",1,17,0.0588235294117647,0.00767885764705882,0.00767885764705882,0.00767885764705882,"summer"
"51","WAB","monitor_2017","White-tailed Deer",6,21,0.285714285714286,0.199435614142857,0.0496234926420385,0.480292319610147,"summer"
"52","WAB","monitor_2018","White-tailed Deer",5,19,0.263157894736842,0.276015315368421,0.0393347019775934,0.809623767352773,"summer"
"53","WAB","monitor_2019","White-tailed Deer",9,20,0.45,0.2814416159,0.0754261509017019,0.658015504842013,"summer"
"54","WAB","monitor_2020","White-tailed Deer",10,22,0.454545454545455,0.262691567772727,0.0929568917001016,0.543152347391855,"summer"
"55","WAB","monitor_2021","White-tailed Deer",4,9,0.444444444444444,0.425820469555556,0.0839008523716771,1.09236678079102,"summer"
"56","ADE","monitor_2019","White-tailed Deer",0,21,0,0,0,0,"winter"
"57","ADE","monitor_2020","White-tailed Deer",1,21,0.0476190476190476,0.00779525952380952,0.00779525952380952,0.00779525952380952,"winter"
"58","ADE","monitor_2021","White-tailed Deer",1,16,0.0625,0.0092168733125,0.0092168733125,0.0092168733125,"winter"
"59","AUB","monitor_2019","White-tailed Deer",20,25,0.8,1.4340987926,0.83690636061384,2.24128064706146,"winter"
"60","AUB","monitor_2020","White-tailed Deer",21,24,0.875,1.35871122645833,0.86570860697643,2.01265949430281,"winter"
"61","AUB","monitor_2021","White-tailed Deer",9,16,0.5625,1.101555247125,0.405630093744832,2.21701161994266,"winter"
"62","CAL","monitor_2017","White-tailed Deer",16,24,0.666666666666667,0.675751956875,0.311297074080551,1.22090820952322,"winter"
"63","CAL","monitor_2018","White-tailed Deer",20,24,0.833333333333333,1.29974208575,0.600642935241982,2.36019957884011,"winter"
"64","CAL","monitor_2019","White-tailed Deer",16,21,0.761904761904762,1.11852652214286,0.59405467006002,1.86927704746069,"winter"
"65","CHR","monitor_2017","White-tailed Deer",2,24,0.0833333333333333,0.026474402625,0,0.0653853124109376,"winter"
"66","CHR","monitor_2018","White-tailed Deer",1,21,0.0476190476190476,0.00700836914285714,0.00700836914285714,0.00700836914285714,"winter"
"67","CHR","monitor_2019","White-tailed Deer",4,26,0.153846153846154,0.0335164478461539,0.00549443472000617,0.090716792493945,"winter"
"68","CHR","monitor_2020","White-tailed Deer",3,26,0.115384615384615,0.0486176322692308,0.000954546348112753,0.180351098170154,"winter"
"69","CHR","monitor_2021","White-tailed Deer",4,21,0.19047619047619,0.141096735047619,0.023705031939561,0.36930797789616,"winter"
"70","DEW","monitor_2017","White-tailed Deer",4,18,0.222222222222222,0.0143958595555556,0.00371667144126032,0.0294534089353724,"winter"
"71","DEW","monitor_2018","White-tailed Deer",8,16,0.5,0.2523183365,0.0773687024698779,0.564372535197949,"winter"
"72","DEW","monitor_2019","White-tailed Deer",8,13,0.615384615384615,0.121022565846154,0.0480367244595181,0.235645363319848,"winter"
"73","FMM","monitor_2017","White-tailed Deer",1,25,0.04,0.00098263688,0.00098263688,0.00098263688,"winter"
"74","FMM","monitor_2018","White-tailed Deer",1,24,0.0416666666666667,0.00835017075,0.00835017075,0.00835017075,"winter"
"75","FMM","monitor_2019","White-tailed Deer",0,25,0,0,0,0,"winter"
"76","FMM","monitor_2020","White-tailed Deer",2,24,0.0833333333333333,0.200407435208333,0,0.789521117208206,"winter"
"77","FMM","monitor_2021","White-tailed Deer",1,19,0.0526315789473684,0.00152770152631579,0.00152770152631579,0.00152770152631579,"winter"
"78","LID","monitor_2018","White-tailed Deer",0,24,0,0,0,0,"winter"
"79","LID","monitor_2019","White-tailed Deer",2,22,0.0909090909090909,0.00564722527272727,0,0.0200177287799723,"winter"
"80","LID","monitor_2020","White-tailed Deer",0,25,0,0,0,0,"winter"
"81","LID","monitor_2021","White-tailed Deer",1,20,0.05,0.0025026258,0.0025026258,0.0025026258,"winter"
"82","LLB","monitor_2017","White-tailed Deer",12,24,0.5,0.38987439,0.190531678656169,0.67664290398394,"winter"
"83","LLB","monitor_2018","White-tailed Deer",15,25,0.6,0.46950889972,0.222050285086713,0.828430171848641,"winter"
"84","LLB","monitor_2019","White-tailed Deer",11,24,0.458333333333333,0.579585675458333,0.212343080806146,1.17862808312828,"winter"
"85","LLB","monitor_2020","White-tailed Deer",11,25,0.44,0.8393072628,0.316877917748993,1.66596186319334,"winter"
"86","LLB","monitor_2021","White-tailed Deer",11,19,0.578947368421053,0.877930802578947,0.339360207577713,1.76063555510429,"winter"
"87","LRN","monitor_2017","White-tailed Deer",0,24,0,0,0,0,"winter"
"88","LRN","monitor_2018","White-tailed Deer",1,24,0.0416666666666667,0.025828401125,0.025828401125,0.025828401125,"winter"
"89","LRN","monitor_2019","White-tailed Deer",0,23,0,0,0,0,"winter"
"90","LRN","monitor_2020","White-tailed Deer",1,24,0.0416666666666667,0.00625139529166667,0.00625139529166667,0.00625139529166667,"winter"
"91","LRN","monitor_2021","White-tailed Deer",4,17,0.235294117647059,0.0549788751764706,0.0137758840126098,0.119241923956399,"winter"
"92","MAC","monitor_2017","White-tailed Deer",0,25,0,0,0,0,"winter"
"93","MAC","monitor_2018","White-tailed Deer",0,23,0,0,0,0,"winter"
"94","MAC","monitor_2019","White-tailed Deer",0,23,0,0,0,0,"winter"
"95","MAC","monitor_2020","White-tailed Deer",1,17,0.0588235294117647,0.00163624276470588,0.00163624276470588,0.00163624276470588,"winter"
"96","MAL","monitor_2020","White-tailed Deer",4,23,0.173913043478261,0.258107139130435,0.0537721742110776,0.616534300366497,"winter"
"97","MAL","monitor_2021","White-tailed Deer",3,9,0.333333333333333,0.0702561042222222,0.0131940053055672,0.168251117678242,"winter"
"98","MCC","monitor_2017","White-tailed Deer",0,24,0,0,0,0,"winter"
"99","MCC","monitor_2018","White-tailed Deer",0,22,0,0,0,0,"winter"
"100","MCC","monitor_2019","White-tailed Deer",0,22,0,0,0,0,"winter"
"101","MCC","monitor_2020","White-tailed Deer",0,25,0,0,0,0,"winter"
"102","MCC","monitor_2021","White-tailed Deer",1,16,0.0625,0.024970914625,0.024970914625,0.024970914625,"winter"
"103","MRG","monitor_2019","White-tailed Deer",0,21,0,0,0,0,"winter"
"104","MRG","monitor_2020","White-tailed Deer",1,19,0.0526315789473684,0.0064108547368421,0.0064108547368421,0.0064108547368421,"winter"
"105","MRG","monitor_2021","White-tailed Deer",0,13,0,0,0,0,"winter"
"106","PEL","monitor_2019","White-tailed Deer",4,23,0.173913043478261,0.317605973521739,0.0315284408461566,1.00188259006757,"winter"
"107","PEL","monitor_2020","White-tailed Deer",8,19,0.421052631578947,0.488467243105263,0.18798114204967,0.966397737349553,"winter"
"108","PEL","monitor_2021","White-tailed Deer",0,2,0,0,0,0,"winter"
"109","RIC","monitor_2019","White-tailed Deer",0,24,0,0,0,0,"winter"
"110","RIC","monitor_2020","White-tailed Deer",0,22,0,0,0,0,"winter"
"111","RIC","monitor_2021","White-tailed Deer",0,10,0,0,0,0,"winter"
"112","WAB","monitor_2017","White-tailed Deer",0,25,0,0,0,0,"winter"
"113","WAB","monitor_2018","White-tailed Deer",2,23,0.0869565217391304,0.002126437,0,0.00518600050750766,"winter"
"114","WAB","monitor_2019","White-tailed Deer",2,24,0.0833333333333333,0.00640597741666667,0,0.0215446991312803,"winter"
"115","WAB","monitor_2020","White-tailed Deer",0,18,0,0,0,0,"winter"
